"B4.spc - RawData"
"Wavelength nm."	"Abs."
220.00	1.116
222.00	1.060
224.00	0.996
226.00	0.926
228.00	0.848
230.00	0.761
232.00	0.669
234.00	0.580
236.00	0.493
238.00	0.416
240.00	0.350
242.00	0.292
244.00	0.246
246.00	0.209
248.00	0.180
250.00	0.157
252.00	0.140
254.00	0.127
256.00	0.119
258.00	0.115
260.00	0.112
262.00	0.110
264.00	0.109
266.00	0.108
268.00	0.104
270.00	0.097
272.00	0.090
274.00	0.081
276.00	0.069
278.00	0.056
280.00	0.043
282.00	0.031
284.00	0.023
286.00	0.019
288.00	0.017
290.00	0.016
292.00	0.016
294.00	0.015
296.00	0.015
298.00	0.014
300.00	0.013
302.00	0.013
304.00	0.013
306.00	0.010
308.00	0.008
310.00	0.007
312.00	0.005
314.00	0.004
316.00	0.003
318.00	0.002
320.00	0.002
322.00	0.001
324.00	0.001
326.00	0.002
328.00	0.002
330.00	0.001
332.00	0.001
334.00	0.001
336.00	0.001
338.00	0.001
340.00	0.001
342.00	0.001
344.00	0.001
346.00	0.001
348.00	0.001
350.00	0.001
352.00	0.001
354.00	0.001
356.00	0.001
358.00	0.001
360.00	0.001
362.00	0.001
364.00	-0.001
366.00	0.000
368.00	0.000
370.00	0.001
372.00	0.001
374.00	0.001
376.00	0.001
378.00	0.001
380.00	0.001
382.00	0.001
384.00	0.001
386.00	0.001
388.00	0.001
390.00	0.001
392.00	0.001
394.00	0.001
396.00	0.001
398.00	0.001
400.00	0.001
