"C6.spc - RawData"
"Wavelength nm."	"Abs."
220.00	1.968
222.00	1.873
224.00	1.766
226.00	1.646
228.00	1.507
230.00	1.353
232.00	1.193
234.00	1.036
236.00	0.885
238.00	0.747
240.00	0.626
242.00	0.524
244.00	0.441
246.00	0.375
248.00	0.322
250.00	0.282
252.00	0.253
254.00	0.231
256.00	0.216
258.00	0.208
260.00	0.203
262.00	0.199
264.00	0.197
266.00	0.196
268.00	0.189
270.00	0.178
272.00	0.165
274.00	0.149
276.00	0.128
278.00	0.106
280.00	0.081
282.00	0.060
284.00	0.047
286.00	0.039
288.00	0.036
290.00	0.035
292.00	0.034
294.00	0.034
296.00	0.033
298.00	0.032
300.00	0.030
302.00	0.028
304.00	0.027
306.00	0.022
308.00	0.018
310.00	0.015
312.00	0.012
314.00	0.010
316.00	0.008
318.00	0.007
320.00	0.006
322.00	0.005
324.00	0.003
326.00	0.004
328.00	0.004
330.00	0.003
332.00	0.003
334.00	0.003
336.00	0.003
338.00	0.003
340.00	0.002
342.00	0.002
344.00	0.003
346.00	0.003
348.00	0.002
350.00	0.002
352.00	0.002
354.00	0.002
356.00	0.002
358.00	0.002
360.00	0.002
362.00	0.002
364.00	0.000
366.00	0.002
368.00	0.002
370.00	0.002
372.00	0.002
374.00	0.002
376.00	0.002
378.00	0.002
380.00	0.002
382.00	0.002
384.00	0.002
386.00	0.002
388.00	0.002
390.00	0.002
392.00	0.002
394.00	0.002
396.00	0.002
398.00	0.002
400.00	0.002
