"D6.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.490
222.00	0.464
224.00	0.434
226.00	0.402
228.00	0.366
230.00	0.327
232.00	0.289
234.00	0.249
236.00	0.212
238.00	0.179
240.00	0.148
242.00	0.123
244.00	0.103
246.00	0.086
248.00	0.073
250.00	0.063
252.00	0.056
254.00	0.051
256.00	0.048
258.00	0.046
260.00	0.045
262.00	0.044
264.00	0.044
266.00	0.044
268.00	0.042
270.00	0.039
272.00	0.036
274.00	0.032
276.00	0.028
278.00	0.022
280.00	0.016
282.00	0.011
284.00	0.008
286.00	0.007
288.00	0.006
290.00	0.005
292.00	0.005
294.00	0.005
296.00	0.005
298.00	0.004
300.00	0.003
302.00	0.003
304.00	0.004
306.00	0.002
308.00	0.001
310.00	-0.000
312.00	-0.001
314.00	-0.002
316.00	-0.002
318.00	-0.002
320.00	-0.003
322.00	-0.003
324.00	-0.003
326.00	-0.003
328.00	-0.003
330.00	-0.003
332.00	-0.003
334.00	-0.003
336.00	-0.003
338.00	-0.003
340.00	-0.004
342.00	-0.003
344.00	-0.003
346.00	-0.003
348.00	-0.003
350.00	-0.003
352.00	-0.003
354.00	-0.003
356.00	-0.003
358.00	-0.003
360.00	-0.003
362.00	-0.003
364.00	-0.005
366.00	-0.003
368.00	-0.003
370.00	-0.003
372.00	-0.003
374.00	-0.003
376.00	-0.003
378.00	-0.003
380.00	-0.003
382.00	-0.003
384.00	-0.003
386.00	-0.003
388.00	-0.003
390.00	-0.003
392.00	-0.003
394.00	-0.003
396.00	-0.003
398.00	-0.003
400.00	-0.003
