"A6.spc - RawData"
"Wavelength nm."	"Abs."
220.00	2.772
222.00	2.648
224.00	2.499
226.00	2.338
228.00	2.141
230.00	1.925
232.00	1.698
234.00	1.471
236.00	1.254
238.00	1.059
240.00	0.889
242.00	0.740
244.00	0.621
246.00	0.528
248.00	0.454
250.00	0.395
252.00	0.353
254.00	0.321
256.00	0.301
258.00	0.290
260.00	0.283
262.00	0.277
264.00	0.275
266.00	0.273
268.00	0.264
270.00	0.248
272.00	0.229
274.00	0.207
276.00	0.179
278.00	0.146
280.00	0.112
282.00	0.082
284.00	0.064
286.00	0.054
288.00	0.050
290.00	0.048
292.00	0.048
294.00	0.048
296.00	0.046
298.00	0.045
300.00	0.042
302.00	0.040
304.00	0.038
306.00	0.031
308.00	0.025
310.00	0.020
312.00	0.016
314.00	0.012
316.00	0.009
318.00	0.007
320.00	0.005
322.00	0.004
324.00	0.003
326.00	0.002
328.00	0.002
330.00	0.001
332.00	0.001
334.00	0.001
336.00	0.001
338.00	0.001
340.00	0.000
342.00	0.001
344.00	0.001
346.00	0.001
348.00	-0.000
350.00	0.000
352.00	0.001
354.00	0.000
356.00	0.000
358.00	0.000
360.00	0.000
362.00	0.000
364.00	-0.002
366.00	-0.000
368.00	0.000
370.00	0.000
372.00	0.000
374.00	0.000
376.00	-0.000
378.00	-0.000
380.00	0.000
382.00	0.000
384.00	0.000
386.00	0.000
388.00	0.000
390.00	0.000
392.00	0.000
394.00	0.001
396.00	0.000
398.00	0.000
400.00	0.000
