"B3.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.538
222.00	0.508
224.00	0.474
226.00	0.440
228.00	0.401
230.00	0.358
232.00	0.314
234.00	0.271
236.00	0.232
238.00	0.195
240.00	0.164
242.00	0.136
244.00	0.114
246.00	0.097
248.00	0.083
250.00	0.072
252.00	0.064
254.00	0.058
256.00	0.055
258.00	0.053
260.00	0.052
262.00	0.051
264.00	0.050
266.00	0.050
268.00	0.048
270.00	0.045
272.00	0.041
274.00	0.037
276.00	0.032
278.00	0.026
280.00	0.019
282.00	0.014
284.00	0.010
286.00	0.009
288.00	0.008
290.00	0.007
292.00	0.007
294.00	0.007
296.00	0.007
298.00	0.006
300.00	0.006
302.00	0.006
304.00	0.006
306.00	0.004
308.00	0.003
310.00	0.002
312.00	0.001
314.00	0.001
316.00	0.001
318.00	0.000
320.00	0.000
322.00	0.000
324.00	0.000
326.00	0.000
328.00	-0.000
330.00	-0.001
332.00	-0.000
334.00	0.000
336.00	0.000
338.00	-0.000
340.00	-0.000
342.00	-0.000
344.00	-0.000
346.00	0.000
348.00	0.000
350.00	0.000
352.00	-0.000
354.00	-0.000
356.00	-0.000
358.00	-0.000
360.00	-0.000
362.00	0.000
364.00	-0.002
366.00	0.000
368.00	0.000
370.00	0.000
372.00	0.000
374.00	-0.000
376.00	0.000
378.00	0.000
380.00	0.001
382.00	0.001
384.00	0.001
386.00	0.001
388.00	0.001
390.00	0.001
392.00	0.001
394.00	0.001
396.00	0.001
398.00	0.001
400.00	0.001
