"C5.spc - RawData"
"Wavelength nm."	"Abs."
220.00	1.572
222.00	1.495
224.00	1.408
226.00	1.312
228.00	1.200
230.00	1.079
232.00	0.950
234.00	0.824
236.00	0.703
238.00	0.594
240.00	0.500
242.00	0.417
244.00	0.350
246.00	0.298
248.00	0.258
250.00	0.225
252.00	0.201
254.00	0.183
256.00	0.172
258.00	0.166
260.00	0.161
262.00	0.158
264.00	0.157
266.00	0.156
268.00	0.150
270.00	0.141
272.00	0.130
274.00	0.117
276.00	0.101
278.00	0.083
280.00	0.063
282.00	0.046
284.00	0.036
286.00	0.030
288.00	0.027
290.00	0.026
292.00	0.026
294.00	0.025
296.00	0.024
298.00	0.024
300.00	0.022
302.00	0.021
304.00	0.021
306.00	0.017
308.00	0.014
310.00	0.012
312.00	0.010
314.00	0.008
316.00	0.006
318.00	0.005
320.00	0.004
322.00	0.004
324.00	0.004
326.00	0.004
328.00	0.004
330.00	0.003
332.00	0.003
334.00	0.003
336.00	0.003
338.00	0.003
340.00	0.003
342.00	0.003
344.00	0.003
346.00	0.003
348.00	0.003
350.00	0.003
352.00	0.003
354.00	0.003
356.00	0.002
358.00	0.003
360.00	0.003
362.00	0.003
364.00	0.001
366.00	0.003
368.00	0.003
370.00	0.003
372.00	0.003
374.00	0.003
376.00	0.003
378.00	0.003
380.00	0.003
382.00	0.003
384.00	0.003
386.00	0.003
388.00	0.003
390.00	0.003
392.00	0.003
394.00	0.003
396.00	0.003
398.00	0.003
400.00	0.003
