"D7.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.636
222.00	0.602
224.00	0.566
226.00	0.525
228.00	0.478
230.00	0.428
232.00	0.377
234.00	0.326
236.00	0.278
238.00	0.234
240.00	0.196
242.00	0.163
244.00	0.136
246.00	0.115
248.00	0.099
250.00	0.085
252.00	0.076
254.00	0.069
256.00	0.065
258.00	0.062
260.00	0.061
262.00	0.060
264.00	0.059
266.00	0.059
268.00	0.057
270.00	0.053
272.00	0.049
274.00	0.044
276.00	0.038
278.00	0.031
280.00	0.024
282.00	0.017
284.00	0.013
286.00	0.011
288.00	0.010
290.00	0.010
292.00	0.009
294.00	0.009
296.00	0.009
298.00	0.008
300.00	0.007
302.00	0.007
304.00	0.008
306.00	0.005
308.00	0.003
310.00	0.002
312.00	0.001
314.00	0.000
316.00	-0.000
318.00	-0.001
320.00	-0.002
322.00	-0.002
324.00	-0.002
326.00	-0.002
328.00	-0.002
330.00	-0.003
332.00	-0.002
334.00	-0.002
336.00	-0.002
338.00	-0.002
340.00	-0.003
342.00	-0.003
344.00	-0.003
346.00	-0.002
348.00	-0.002
350.00	-0.002
352.00	-0.003
354.00	-0.003
356.00	-0.003
358.00	-0.003
360.00	-0.003
362.00	-0.003
364.00	-0.005
366.00	-0.003
368.00	-0.003
370.00	-0.003
372.00	-0.003
374.00	-0.003
376.00	-0.003
378.00	-0.003
380.00	-0.003
382.00	-0.002
384.00	-0.002
386.00	-0.002
388.00	-0.002
390.00	-0.002
392.00	-0.003
394.00	-0.002
396.00	-0.002
398.00	-0.002
400.00	-0.003
