"blank.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.003
222.00	0.003
224.00	0.003
226.00	0.003
228.00	0.003
230.00	0.003
232.00	0.003
234.00	0.003
236.00	0.003
238.00	0.003
240.00	0.003
242.00	0.002
244.00	0.002
246.00	0.002
248.00	0.001
250.00	0.001
252.00	0.001
254.00	0.001
256.00	0.001
258.00	0.001
260.00	0.001
262.00	0.001
264.00	0.001
266.00	0.001
268.00	0.001
270.00	0.001
272.00	0.001
274.00	0.000
276.00	0.000
278.00	0.000
280.00	0.000
282.00	0.000
284.00	0.000
286.00	0.000
288.00	0.000
290.00	0.000
292.00	0.000
294.00	0.000
296.00	0.000
298.00	0.000
300.00	-0.000
302.00	-0.000
304.00	0.002
306.00	0.000
308.00	0.000
310.00	-0.000
312.00	-0.000
314.00	-0.000
316.00	-0.000
318.00	0.000
320.00	-0.001
322.00	-0.001
324.00	0.000
326.00	0.001
328.00	0.000
330.00	-0.000
332.00	0.000
334.00	0.000
336.00	0.001
338.00	-0.000
340.00	-0.000
342.00	-0.000
344.00	0.000
346.00	0.001
348.00	0.000
350.00	0.000
352.00	-0.000
354.00	0.000
356.00	0.000
358.00	-0.000
360.00	-0.000
362.00	-0.000
364.00	-0.001
366.00	0.000
368.00	0.000
370.00	-0.000
372.00	-0.000
374.00	0.000
376.00	-0.000
378.00	0.000
380.00	0.000
382.00	0.000
384.00	0.000
386.00	0.000
388.00	0.000
390.00	0.000
392.00	0.000
394.00	0.000
396.00	0.000
398.00	0.000
400.00	0.000
