"20ppm.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.644
221.00	0.630
222.00	0.616
223.00	0.600
224.00	0.584
225.00	0.566
226.00	0.547
227.00	0.527
228.00	0.505
229.00	0.483
230.00	0.458
231.00	0.433
232.00	0.408
233.00	0.381
234.00	0.355
235.00	0.330
236.00	0.306
237.00	0.282
238.00	0.260
239.00	0.238
240.00	0.218
241.00	0.200
242.00	0.183
243.00	0.167
244.00	0.153
245.00	0.140
246.00	0.129
247.00	0.119
248.00	0.110
249.00	0.102
250.00	0.095
251.00	0.089
252.00	0.084
253.00	0.079
254.00	0.075
255.00	0.072
256.00	0.069
257.00	0.067
258.00	0.065
259.00	0.064
260.00	0.063
261.00	0.062
262.00	0.061
263.00	0.061
264.00	0.060
265.00	0.060
266.00	0.060
267.00	0.060
268.00	0.059
269.00	0.057
270.00	0.055
271.00	0.053
272.00	0.051
273.00	0.049
274.00	0.046
275.00	0.043
276.00	0.040
277.00	0.037
278.00	0.033
279.00	0.029
280.00	0.025
281.00	0.021
282.00	0.017
283.00	0.014
284.00	0.011
285.00	0.010
286.00	0.008
287.00	0.007
288.00	0.006
289.00	0.005
290.00	0.005
291.00	0.005
292.00	0.004
293.00	0.004
294.00	0.004
295.00	0.005
296.00	0.004
297.00	0.005
298.00	0.004
299.00	0.004
300.00	0.004
301.00	0.004
302.00	0.004
303.00	0.004
304.00	0.003
305.00	0.005
306.00	0.003
307.00	0.003
308.00	0.002
309.00	0.002
310.00	0.001
311.00	0.001
312.00	0.001
313.00	0.001
314.00	0.001
315.00	0.001
316.00	0.000
317.00	-0.000
318.00	0.000
319.00	0.000
320.00	-0.000
321.00	-0.000
322.00	-0.001
323.00	-0.001
324.00	-0.001
325.00	-0.001
326.00	-0.001
327.00	-0.001
328.00	-0.001
329.00	-0.000
330.00	-0.000
331.00	-0.001
332.00	-0.001
333.00	-0.001
334.00	-0.001
335.00	-0.001
336.00	-0.001
337.00	-0.001
338.00	-0.000
339.00	-0.001
340.00	-0.001
341.00	-0.001
342.00	-0.001
343.00	-0.001
344.00	-0.001
345.00	-0.001
346.00	-0.001
347.00	-0.001
348.00	-0.001
349.00	-0.001
350.00	-0.001
351.00	-0.001
352.00	-0.000
353.00	-0.000
354.00	-0.000
355.00	-0.001
356.00	-0.001
357.00	-0.001
358.00	-0.001
359.00	-0.001
360.00	-0.001
361.00	-0.001
362.00	-0.001
363.00	-0.001
364.00	-0.003
365.00	-0.002
366.00	-0.002
367.00	-0.001
368.00	-0.001
369.00	-0.001
370.00	-0.002
371.00	-0.001
372.00	-0.002
373.00	-0.002
374.00	-0.001
375.00	-0.001
376.00	-0.001
377.00	-0.001
378.00	-0.001
379.00	-0.001
380.00	-0.001
381.00	-0.001
382.00	-0.001
383.00	-0.001
384.00	-0.001
385.00	-0.000
386.00	-0.001
387.00	-0.001
388.00	-0.001
389.00	-0.001
390.00	-0.001
391.00	-0.001
392.00	-0.001
393.00	-0.001
394.00	-0.001
395.00	-0.001
396.00	-0.001
397.00	-0.001
398.00	-0.001
399.00	-0.001
400.00	-0.001
