"blank5.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.002
221.00	0.002
222.00	0.002
223.00	0.002
224.00	0.002
225.00	0.002
226.00	0.002
227.00	0.001
228.00	0.002
229.00	0.001
230.00	0.001
231.00	0.001
232.00	0.001
233.00	0.001
234.00	0.001
235.00	0.001
236.00	0.001
237.00	0.001
238.00	0.001
239.00	0.001
240.00	0.001
241.00	0.001
242.00	0.001
243.00	0.001
244.00	0.001
245.00	0.001
246.00	0.001
247.00	0.001
248.00	0.000
249.00	0.000
250.00	0.001
251.00	0.001
252.00	0.000
253.00	0.001
254.00	0.001
255.00	0.001
256.00	0.001
257.00	0.001
258.00	0.000
259.00	0.000
260.00	0.000
261.00	0.000
262.00	0.000
263.00	0.001
264.00	0.000
265.00	0.001
266.00	0.001
267.00	0.001
268.00	0.000
269.00	0.001
270.00	0.000
271.00	0.000
272.00	0.001
273.00	0.001
274.00	0.000
275.00	0.001
276.00	0.000
277.00	0.000
278.00	0.000
279.00	0.000
280.00	0.000
281.00	0.000
282.00	0.000
283.00	0.000
284.00	0.000
285.00	0.000
286.00	-0.000
287.00	-0.000
288.00	-0.000
289.00	-0.000
290.00	0.000
291.00	-0.000
292.00	0.000
293.00	0.000
294.00	0.000
295.00	0.000
296.00	0.000
297.00	0.000
298.00	0.000
299.00	-0.000
300.00	-0.000
301.00	-0.000
302.00	-0.000
303.00	-0.000
304.00	-0.000
305.00	0.001
306.00	-0.000
307.00	-0.000
308.00	-0.000
309.00	-0.000
310.00	-0.000
311.00	-0.000
312.00	0.000
313.00	-0.000
314.00	0.000
315.00	0.000
316.00	-0.000
317.00	0.000
318.00	0.000
319.00	0.000
320.00	0.001
321.00	0.000
322.00	0.000
323.00	0.001
324.00	0.000
325.00	0.001
326.00	0.001
327.00	0.001
328.00	0.001
329.00	0.001
330.00	0.001
331.00	0.000
332.00	0.000
333.00	-0.000
334.00	-0.000
335.00	-0.000
336.00	-0.001
337.00	-0.000
338.00	-0.000
339.00	0.000
340.00	-0.000
341.00	0.000
342.00	-0.000
343.00	-0.000
344.00	0.000
345.00	0.000
346.00	-0.000
347.00	0.000
348.00	-0.000
349.00	0.000
350.00	0.000
351.00	0.000
352.00	0.000
353.00	0.000
354.00	0.000
355.00	0.001
356.00	0.001
357.00	0.000
358.00	0.001
359.00	0.001
360.00	0.001
361.00	0.000
362.00	0.000
363.00	0.000
364.00	-0.002
365.00	-0.000
366.00	0.000
367.00	0.000
368.00	-0.000
369.00	0.000
370.00	0.000
371.00	-0.000
372.00	-0.000
373.00	-0.000
374.00	0.000
375.00	0.000
376.00	0.000
377.00	0.000
378.00	0.000
379.00	0.001
380.00	0.001
381.00	0.000
382.00	0.001
383.00	0.000
384.00	0.000
385.00	0.000
386.00	0.000
387.00	0.000
388.00	0.000
389.00	0.000
390.00	0.000
391.00	0.000
392.00	0.000
393.00	0.000
394.00	0.000
395.00	0.000
396.00	0.000
397.00	0.000
398.00	0.000
399.00	0.000
400.00	-0.000
