"1_10tablet.spc - RawData"
"Wavelength nm."	"Abs."
220.00	5.000
222.00	5.000
224.00	5.000
226.00	5.000
228.00	5.000
230.00	5.000
232.00	5.000
234.00	5.000
236.00	5.000
238.00	5.000
240.00	5.000
242.00	4.192
244.00	3.367
246.00	2.828
248.00	2.432
250.00	2.121
252.00	1.889
254.00	1.724
256.00	1.611
258.00	1.551
260.00	1.511
262.00	1.483
264.00	1.478
266.00	1.477
268.00	1.437
270.00	1.362
272.00	1.273
274.00	1.171
276.00	1.037
278.00	0.879
280.00	0.715
282.00	0.578
284.00	0.495
286.00	0.452
288.00	0.435
290.00	0.432
292.00	0.432
294.00	0.428
296.00	0.418
298.00	0.402
300.00	0.380
302.00	0.355
304.00	0.319
306.00	0.275
308.00	0.228
310.00	0.182
312.00	0.140
314.00	0.107
316.00	0.082
318.00	0.058
320.00	0.041
322.00	0.029
324.00	0.021
326.00	0.016
328.00	0.011
330.00	0.008
332.00	0.006
334.00	0.005
336.00	0.003
338.00	0.002
340.00	0.001
342.00	-0.000
344.00	-0.000
346.00	-0.001
348.00	-0.001
350.00	-0.002
352.00	-0.002
354.00	-0.002
356.00	-0.002
358.00	-0.002
360.00	-0.003
362.00	-0.002
364.00	-0.004
366.00	-0.002
368.00	-0.002
370.00	-0.002
372.00	-0.003
374.00	-0.002
376.00	-0.002
378.00	-0.002
380.00	-0.002
382.00	-0.002
384.00	-0.002
386.00	-0.002
388.00	-0.002
390.00	-0.002
392.00	-0.002
394.00	-0.002
396.00	-0.002
398.00	-0.002
400.00	-0.002
