"20mgL2.spc - RawData"
"Wavelength nm."	"Abs."
220.00	2.439
222.00	2.330
224.00	2.200
226.00	2.055
228.00	1.884
230.00	1.696
232.00	1.499
234.00	1.301
236.00	1.114
238.00	0.940
240.00	0.793
242.00	0.664
244.00	0.562
246.00	0.479
248.00	0.413
250.00	0.362
252.00	0.324
254.00	0.297
256.00	0.278
258.00	0.268
260.00	0.261
262.00	0.256
264.00	0.254
266.00	0.252
268.00	0.243
270.00	0.228
272.00	0.211
274.00	0.191
276.00	0.165
278.00	0.135
280.00	0.103
282.00	0.076
284.00	0.059
286.00	0.049
288.00	0.044
290.00	0.042
292.00	0.041
294.00	0.040
296.00	0.039
298.00	0.038
300.00	0.037
302.00	0.035
304.00	0.034
306.00	0.029
308.00	0.026
310.00	0.022
312.00	0.019
314.00	0.017
316.00	0.015
318.00	0.013
320.00	0.012
322.00	0.011
324.00	0.010
326.00	0.010
328.00	0.010
330.00	0.010
332.00	0.010
334.00	0.009
336.00	0.009
338.00	0.009
340.00	0.009
342.00	0.009
344.00	0.009
346.00	0.008
348.00	0.009
350.00	0.008
352.00	0.008
354.00	0.008
356.00	0.008
358.00	0.008
360.00	0.008
362.00	0.008
364.00	0.006
366.00	0.008
368.00	0.008
370.00	0.008
372.00	0.008
374.00	0.008
376.00	0.008
378.00	0.008
380.00	0.008
382.00	0.008
384.00	0.008
386.00	0.007
388.00	0.007
390.00	0.007
392.00	0.007
394.00	0.008
396.00	0.007
398.00	0.007
400.00	0.007
