"40mgL.spc - RawData"
"Wavelength nm."	"Abs."
220.00	1.297
222.00	1.236
224.00	1.167
226.00	1.087
228.00	0.993
230.00	0.891
232.00	0.785
234.00	0.680
236.00	0.581
238.00	0.490
240.00	0.411
242.00	0.343
244.00	0.291
246.00	0.248
248.00	0.214
250.00	0.186
252.00	0.166
254.00	0.151
256.00	0.141
258.00	0.136
260.00	0.132
262.00	0.129
264.00	0.128
266.00	0.127
268.00	0.122
270.00	0.114
272.00	0.104
274.00	0.093
276.00	0.080
278.00	0.064
280.00	0.047
282.00	0.033
284.00	0.024
286.00	0.018
288.00	0.016
290.00	0.014
292.00	0.014
294.00	0.013
296.00	0.013
298.00	0.012
300.00	0.012
302.00	0.011
304.00	0.012
306.00	0.008
308.00	0.007
310.00	0.006
312.00	0.004
314.00	0.003
316.00	0.002
318.00	0.002
320.00	0.001
322.00	-0.000
324.00	0.001
326.00	0.000
328.00	0.000
330.00	-0.000
332.00	0.000
334.00	0.000
336.00	0.000
338.00	-0.000
340.00	-0.000
342.00	-0.001
344.00	-0.001
346.00	-0.000
348.00	0.000
350.00	-0.001
352.00	-0.001
354.00	-0.000
356.00	-0.000
358.00	-0.001
360.00	-0.001
362.00	-0.001
364.00	-0.003
366.00	-0.001
368.00	-0.001
370.00	-0.001
372.00	-0.001
374.00	-0.001
376.00	-0.001
378.00	-0.001
380.00	-0.001
382.00	-0.001
384.00	-0.001
386.00	-0.001
388.00	-0.001
390.00	-0.001
392.00	-0.001
394.00	-0.001
396.00	-0.001
398.00	-0.001
400.00	-0.001
