"DI baseline.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.004
222.00	0.004
224.00	0.004
226.00	0.003
228.00	0.004
230.00	0.004
232.00	0.004
234.00	0.004
236.00	0.004
238.00	0.005
240.00	0.004
242.00	0.004
244.00	0.003
246.00	0.002
248.00	0.002
250.00	0.002
252.00	0.002
254.00	0.002
256.00	0.002
258.00	0.002
260.00	0.002
262.00	0.002
264.00	0.002
266.00	0.001
268.00	0.002
270.00	0.002
272.00	0.001
274.00	0.001
276.00	0.001
278.00	0.001
280.00	0.001
282.00	0.001
284.00	0.001
286.00	0.001
288.00	0.001
290.00	0.001
292.00	0.001
294.00	0.000
296.00	0.000
298.00	0.000
300.00	0.001
302.00	0.001
304.00	0.003
306.00	0.001
308.00	0.001
310.00	0.001
312.00	0.001
314.00	0.000
316.00	0.001
318.00	0.001
320.00	0.001
322.00	0.000
324.00	0.001
326.00	0.000
328.00	0.001
330.00	0.001
332.00	0.000
334.00	0.001
336.00	0.001
338.00	0.001
340.00	0.001
342.00	0.001
344.00	0.001
346.00	0.000
348.00	0.001
350.00	0.001
352.00	0.001
354.00	0.000
356.00	0.001
358.00	0.000
360.00	0.000
362.00	0.000
364.00	-0.001
366.00	0.000
368.00	0.000
370.00	0.001
372.00	0.000
374.00	0.000
376.00	0.000
378.00	0.000
380.00	0.001
382.00	0.001
384.00	0.001
386.00	0.000
388.00	0.001
390.00	0.001
392.00	0.000
394.00	0.000
396.00	0.000
398.00	0.000
400.00	0.000
