"bayeraspirintablet.spc - RawData"
"Wavelength nm."	"Abs."
220.00	3.797
221.00	3.797
222.00	3.650
223.00	3.717
224.00	3.621
225.00	3.519
226.00	3.400
227.00	3.307
228.00	3.177
229.00	3.051
230.00	2.921
231.00	2.764
232.00	2.613
233.00	2.451
234.00	2.297
235.00	2.137
236.00	1.985
237.00	1.833
238.00	1.691
239.00	1.550
240.00	1.419
241.00	1.297
242.00	1.180
243.00	1.076
244.00	0.983
245.00	0.899
246.00	0.827
247.00	0.762
248.00	0.704
249.00	0.653
250.00	0.607
251.00	0.569
252.00	0.536
253.00	0.507
254.00	0.482
255.00	0.460
256.00	0.442
257.00	0.429
258.00	0.419
259.00	0.412
260.00	0.406
261.00	0.401
262.00	0.397
263.00	0.393
264.00	0.391
265.00	0.391
266.00	0.392
267.00	0.391
268.00	0.387
269.00	0.380
270.00	0.371
271.00	0.360
272.00	0.348
273.00	0.336
274.00	0.324
275.00	0.309
276.00	0.293
277.00	0.275
278.00	0.255
279.00	0.233
280.00	0.210
281.00	0.188
282.00	0.168
283.00	0.150
284.00	0.137
285.00	0.126
286.00	0.119
287.00	0.114
288.00	0.111
289.00	0.109
290.00	0.108
291.00	0.108
292.00	0.107
293.00	0.107
294.00	0.107
295.00	0.106
296.00	0.105
297.00	0.103
298.00	0.102
299.00	0.100
300.00	0.097
301.00	0.094
302.00	0.091
303.00	0.088
304.00	0.084
305.00	0.081
306.00	0.074
307.00	0.069
308.00	0.063
309.00	0.057
310.00	0.051
311.00	0.046
312.00	0.040
313.00	0.035
314.00	0.031
315.00	0.027
316.00	0.024
317.00	0.021
318.00	0.017
319.00	0.015
320.00	0.013
321.00	0.011
322.00	0.010
323.00	0.009
324.00	0.008
325.00	0.006
326.00	0.005
327.00	0.005
328.00	0.004
329.00	0.003
330.00	0.002
331.00	0.002
332.00	0.001
333.00	0.002
334.00	0.001
335.00	0.001
336.00	0.000
337.00	0.001
338.00	0.000
339.00	-0.000
340.00	-0.000
341.00	-0.000
342.00	-0.000
343.00	-0.000
344.00	-0.000
345.00	-0.000
346.00	-0.000
347.00	-0.000
348.00	-0.001
349.00	-0.001
350.00	-0.001
351.00	-0.001
352.00	-0.001
353.00	-0.001
354.00	-0.001
355.00	-0.001
356.00	-0.001
357.00	-0.001
358.00	-0.001
359.00	-0.001
360.00	-0.001
361.00	-0.001
362.00	-0.002
363.00	-0.002
364.00	-0.003
365.00	-0.002
366.00	-0.002
367.00	-0.002
368.00	-0.002
369.00	-0.002
370.00	-0.002
371.00	-0.002
372.00	-0.002
373.00	-0.002
374.00	-0.002
375.00	-0.002
376.00	-0.002
377.00	-0.002
378.00	-0.002
379.00	-0.002
380.00	-0.002
381.00	-0.002
382.00	-0.002
383.00	-0.002
384.00	-0.002
385.00	-0.002
386.00	-0.003
387.00	-0.002
388.00	-0.003
389.00	-0.003
390.00	-0.003
391.00	-0.002
392.00	-0.002
393.00	-0.002
394.00	-0.003
395.00	-0.003
396.00	-0.002
397.00	-0.002
398.00	-0.002
399.00	-0.002
400.00	-0.002
