"1_1tablet.spc - RawData"
"Wavelength nm."	"Abs."
220.00	4.316
222.00	4.791
224.00	5.000
226.00	5.000
228.00	4.192
230.00	4.192
232.00	3.755
234.00	3.321
236.00	2.828
238.00	2.332
240.00	1.898
242.00	1.526
244.00	1.245
246.00	1.029
248.00	0.867
250.00	0.746
252.00	0.662
254.00	0.607
256.00	0.573
258.00	0.560
260.00	0.556
262.00	0.559
264.00	0.571
266.00	0.585
268.00	0.587
270.00	0.579
272.00	0.563
274.00	0.536
276.00	0.491
278.00	0.432
280.00	0.364
282.00	0.297
284.00	0.240
286.00	0.188
288.00	0.144
290.00	0.109
292.00	0.084
294.00	0.068
296.00	0.057
298.00	0.051
300.00	0.045
302.00	0.041
304.00	0.039
306.00	0.032
308.00	0.027
310.00	0.022
312.00	0.017
314.00	0.013
316.00	0.010
318.00	0.008
320.00	0.005
322.00	0.003
324.00	0.002
326.00	0.001
328.00	0.001
330.00	-0.000
332.00	-0.001
334.00	-0.001
336.00	-0.001
338.00	-0.001
340.00	-0.001
342.00	-0.002
344.00	-0.002
346.00	-0.002
348.00	-0.001
350.00	-0.002
352.00	-0.002
354.00	-0.002
356.00	-0.002
358.00	-0.002
360.00	-0.002
362.00	-0.002
364.00	-0.004
366.00	-0.002
368.00	-0.002
370.00	-0.002
372.00	-0.002
374.00	-0.002
376.00	-0.002
378.00	-0.002
380.00	-0.002
382.00	-0.002
384.00	-0.002
386.00	-0.002
388.00	-0.002
390.00	-0.002
392.00	-0.002
394.00	-0.002
396.00	-0.002
398.00	-0.002
400.00	-0.002
